Rk,Player,Nation,Pos,Club,League,Age,Recov%,Int,Int_rk,Int%,BlkSh,Blksh_rk,Blksh%,BlkPass,BlkPass_rk,BlkPass%,Clr,clr_rk,Clr%,Tkl,Tkl_rk,Tkl%,Press,Press_rk,Press%,Blocks,Blocks_rk,Blocks%
2662,Umut Tohumcu,GER,MF,Hoffenheim,Bundesliga,17,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,30,2777,95.10106201,0,1,0
2663,Karl Toko Ekambi,CMR,FW,Lyon,Ligue 1,29,33.74443303,1.22,1442,49.36622131,0,1,0,1.22,1828,62.58992806,0.43,870,30.31042902,0.55,589,20.14388489,10.4,784,26.82425488,1.22,1233,42.20623501
2664,Corentin Tolisso,FRA,MF,Bayern Munich,Bundesliga,27,90.85303186,1.03,1272,43.54230901,0.13,1346,46.07742378,0.9,1296,44.36450839,1.54,1836,64.00418556,1.92,1849,63.30935252,21,2354,80.60979788,1.03,1037,35.49160671
2665,Jeremy Toljan,GER,DF,Sassuolo,Serie A,27,44.53579993,1.42,1642,56.21788284,0.39,2112,72.31928743,1.81,2585,88.52346694,1.81,1983,69.13149634,1.16,1058,36.21103118,8.32,501,17.12915382,2.19,2506,85.81706064
2666,Rafael Tolói,ITA,DF,Atalanta,Serie A,31,90.85303186,2.25,2497,85.50873587,0.69,2541,87.0161014,1.06,1577,53.99109284,2.69,2304,80.32786885,2.13,2046,70.05823912,13.7,1253,42.89140116,1.75,2015,68.99623159
2667,Raúl de Tomás,ESP,FW,Espanyol,La Liga,27,7.845152449,0.28,622,21.27440904,0.19,1580,54.09386776,0.65,916,31.34635149,1.2,1613,56.22602023,0.52,573,19.59575197,8.83,567,19.39020212,0.83,828,28.33162042
2668,Tiago Tomás,POR,FW,Stuttgart,Bundesliga,19,26.24186365,0.42,721,24.6659815,0,1,0,0.67,945,32.33984241,0.5,931,32.43808859,0.5,560,19.15039397,18.9,2071,70.91469681,0.67,680,23.26139089
2669,Takehiro Tomiyasu,JPN,DF,Bologna,Serie A,23,79.75334018,1,1214,41.55532717,0,1,0,0.15,522,17.84857828,0,1,0,0,1,0,20,2207,75.57382665,1.5,1636,56.01233299
2670,Takehiro Tomiyasu,JPN,DF,Arsenal,Premier League,23,86.19390202,1.93,2193,75.09421035,0.16,1460,49.98287085,1.82,2594,88.83179171,2.57,2270,79.14196024,2.03,1963,67.21479959,11.8,969,33.1620418,1.98,2295,78.58855773
2671,James Tomkins,ENG,DF,Crystal Palace,Premier League,33,52.4837273,1.64,1895,64.88523467,1.31,2860,97.94450154,0.82,1151,39.39705379,2.3,2175,75.82839205,1.97,1889,64.67968482,8.03,478,16.34121274,2.13,2459,84.20692018
