Rk,Player,SoT,Norm_SoT_Rk,SoT%,PasTotCmp%,PasLonCmp%,PasProg,PassProgRk,PassProg%,GCA,GCA_rk,GCA%,DriSucc%,Carries,Carries_rk,Carries%,Recov,Recov_rk,Recov%,Nation,Pos,Club,League,Age,Recov
77,Steven Alzate,0.22,1565,53.57999315,88.5,75,3.78,2199,75.29976019,0.22,1991,68.1740322,83.3,41.1,2164,74.10071942,13.6,2833,97.01952724,COL,MF,Brighton,Premier League,23,13.6
78,Ibrahim Amadou,0.22,1565,53.57999315,87.7,70,1.33,757,25.89928058,0,1,0,80,39.9,2060,70.53785543,6.89,1277,43.71360055,FRA,DFMF,Metz,Ligue 1,29,6.89
79,Emmanuel Amankwaa Akurugu,0,1,0,67.5,42.9,2.22,1250,42.78862624,1.11,2895,99.14354231,75,28.9,1134,38.81466256,10,2329,79.75334018,GHA,DF,Getafe,La Liga,20,10
80,Daniel Amartey,0.04,942,32.23706749,91.7,80.9,2.5,1447,49.53751285,0.04,1178,40.32202809,75,49.8,2576,88.21514217,8.94,2028,69.44158959,GHA,DF,Leicester City,Premier League,27,8.94
81,Amath,0.41,1988,68.07125728,78.7,86.7,1.43,803,27.47516273,0.2,1901,65.09078452,53.3,24.5,780,26.68722165,4.8,610,20.86330935,SEN,FWMF,Mallorca,La Liga,25,4.8
82,Jordan Amavi,0,1,0,86.4,75,5,2607,89.27714971,0,1,0,0,47.9,2516,86.15964371,2.86,199,6.783144913,FRA,DF,Marseille,Ligue 1,28,2.86
83,Jordan Amavi,0,1,0,84.8,65.1,6.09,2788,95.47790339,0.22,1991,68.1740322,61.5,53.3,2687,92.01781432,10.2,2453,84.00137033,FRA,DF,Nice,Ligue 1,28,10.2
84,Wisdom Amey,0,1,0,69,55.6,0,1,0,0,1,0,0,27.5,1013,34.66940733,10,2329,79.75334018,ITA,DF,Bologna,Serie A,16,10
85,Kelvin Amian,0.24,1630,55.80678314,79.2,56.6,2.35,1343,45.97464885,0.03,1120,38.33504625,65.6,25.6,868,29.70195272,5.03,713,24.39191504,FRA,DF,Spezia,Serie A,24,5.03
86,Nadiem Amiri,0.79,2462,84.3096951,73.9,40.8,3.42,2021,69.20178143,0.13,1583,54.19664269,56,38.6,1968,67.38609113,6.97,1301,44.53579993,GER,MFFW,Genoa,Serie A,25,6.97
87,Nadiem Amiri,0.49,2105,72.07947927,82.5,65.6,4.39,2448,83.83007879,0.24,2059,70.50359712,50,50.5,2619,89.6882494,9.02,2069,70.8461802,GER,MFFW,Leverkusen,Bundesliga,25,9.02
88,Ethan Ampadu,0.04,942,32.23706749,75,53.3,3.74,2175,74.47756081,0.2,1901,65.09078452,71.4,29.4,1186,40.59609455,10.4,2490,85.26892771,WAL,MFDF,Venezia,Serie A,21,10.4
89,Sofyan Amrabat,0.29,1770,60.60294621,90.3,88.7,4.57,2500,85.61151079,0,1,0,69.2,52.8,2673,91.53819801,10.9,2609,89.34566632,MAR,MF,Fiorentina,Serie A,25,10.9
90,Joachim Andersen,0.09,1103,37.75265502,82.5,66.5,2.87,1698,58.13634806,0.15,1680,57.51969853,75,48.8,2550,87.32442617,8.86,1997,68.37958205,DEN,DF,Crystal Palace,Premier League,25,8.86
91,Felipe Anderson,0.5,2119,72.55909558,77.8,59.1,3.83,2225,76.19047619,0.53,2687,92.01781432,50.9,42,2211,75.71085988,5.95,985,33.71017472,BRA,FW,Lazio,Serie A,29,5.95
92,Sebastian Andersson,0.93,2590,88.69475848,66.4,42.9,0.64,502,17.16341213,0.29,2241,76.73860911,40,17.2,329,11.23672491,3.07,225,7.673860911,SWE,FW,Köln,Bundesliga,30,3.07
93,Florin Andone,0.5,2119,72.55909558,70,50,1,613,20.96608428,0,1,0,50,17,314,10.72285029,4,384,13.12093183,ROU,FW,Cádiz,La Liga,29,4
94,Andrés Andrade Cedeño,0.26,1693,57.96505653,68.3,41.4,3.28,1930,66.08427544,0.09,1391,47.61904762,50,28.6,1105,37.82117163,11.2,2653,90.85303186,PAN,DF,Arminia,Bundesliga,23,11.2
95,Fredrik André Bjørkan,0,1,0,79.9,53.8,2.31,1319,45.15244947,0,1,0,42.9,30.8,1327,45.42651593,9.23,2140,73.27852004,NOR,DF,Hertha BSC,Bundesliga,23,9.23
96,Benjamin André,0.16,1358,46.48852347,80.7,68.4,4.61,2515,86.12538541,0.13,1583,54.19664269,76.2,40.3,2115,72.42206235,11.5,2686,91.98355601,FRA,MF,Lille,Ligue 1,31,11.5
97,Robert Andrich,0.35,1881,64.40561836,82.3,62.4,4.41,2451,83.93285372,0.25,2095,71.7368962,76.9,34.9,1677,57.4169236,11.3,2669,91.40116478,GER,MF,Leverkusen,Bundesliga,27,11.3
98,José Ángel,0.25,1663,56.9373073,76,59.3,6,2777,95.10106201,0.17,1771,60.63720452,54.2,46.5,2458,84.17266187,10.6,2536,86.84480987,ESP,DF,Osasuna,La Liga,32,10.6
99,Angeliño,0.27,1721,58.92428914,72.5,42.6,4.27,2410,82.5282631,0.39,2483,85.02911956,61.9,38.8,1986,68.00274066,7.92,1673,57.27989037,ESP,DF,RB Leipzig,Bundesliga,25,7.92
100,Ebenezer Annan,0,1,0,36.4,0,0,1,0,0,1,0,0,20,459,15.6903049,13.3,2818,96.50565262,GHA,DF,Bologna,Serie A,19,13.3
101,Cristian Ansaldi,0.13,1255,42.95991778,70.9,50.9,6.1,2791,95.58067831,0.65,2793,95.64919493,42.9,41.4,2176,74.51181912,7.79,1628,55.73826653,ARG,DF,Torino,Serie A,35,7.79
102,Janis Antiste,0.23,1599,54.74477561,65.6,40,0.91,573,19.59575197,0,1,0,42.1,20,459,15.6903049,4.55,530,18.12264474,FRA,FW,Spezia,Serie A,19,4.55
103,Waldemar Anton,0.21,1541,52.75779376,85.6,66.3,2.99,1763,60.36313806,0.07,1304,44.63857485,65.2,47.5,2507,85.85131894,10.1,2422,82.9393628,GER,DF,Stuttgart,Bundesliga,25,10.1
104,Josep Antoni Gayá,0,1,0,80,60,0,1,0,0,1,0,0,23.3,689,23.56971566,6.67,1184,40.52757794,ESP,DF,Mallorca,La Liga,21,6.67
105,Michail Antonio,0.82,2495,85.44021925,65.8,53.6,1.3,747,25.5566975,0.52,2675,91.60671463,47.9,26.3,914,31.27783487,4.18,440,15.03939705,JAM,FW,West Ham,Premier League,32,4.18
106,Christopher Antwi-Adjei,0.79,2462,84.3096951,62.6,36.7,1.35,772,26.41315519,0.16,1713,58.65022268,33.3,24.2,750,25.65947242,5.56,868,29.70195272,GHA,FWMF,Bochum,Bundesliga,28,5.56
107,Houssem Aouar,0.9,2563,87.76978417,87.3,73.4,4.57,2500,85.61151079,0.22,1991,68.1740322,55.1,52.4,2664,91.22987324,7.41,1472,50.39397054,FRA,MFFW,Lyon,Ligue 1,23,7.41
108,Adil Aouchiche,0.83,2504,85.74854402,76.1,58.5,3.33,1953,66.87221651,0.5,2651,90.78451524,57.5,47.6,2512,86.02261048,8,1698,58.13634806,FRA,MFFW,Saint-Étienne,Ligue 1,19,8
109,Dennis Appiah,0,1,0,78,60,3.22,1900,65.05652621,0,1,0,59.1,29.7,1215,41.58958547,7.12,1362,46.6255567,FRA,DF,Nantes,Ligue 1,29,7.12
110,Mauro Arambarri,0.27,1721,58.92428914,75,62.1,2.2,1239,42.41178486,0.37,2435,83.38472079,69.6,32.9,1511,51.73004454,9.59,2236,76.56731757,URU,MF,Getafe,La Liga,26,9.59
111,Mattia Aramu,0.69,2360,80.81534772,65.8,38.3,2.75,1626,55.66974991,0.43,2550,87.32442617,44.1,29,1148,39.29427886,5.19,759,25.96779719,ITA,MFFW,Venezia,Serie A,27,5.19
112,Charles Aránguiz,0.17,1391,47.61904762,83.8,69.2,5.03,2645,90.5789654,0.34,2378,81.43199726,78.6,45.8,2429,83.17917095,11.2,2653,90.85303186,CHI,MF,Leverkusen,Bundesliga,33,11.2
113,Néstor Araujo,0.03,927,31.72319287,87.5,75.5,1.92,1077,36.86193902,0.07,1304,44.63857485,85.7,37.9,1926,65.94724221,9.73,2275,77.90339157,MEX,DF,Celta Vigo,La Liga,30,9.73
114,Ronald Araújo,0.4,1964,67.2490579,90.4,74.3,3.06,1801,61.66495375,0,1,0,50,50.6,2627,89.96231586,8.21,1767,60.50017129,URU,DF,Barcelona,La Liga,23,8.21
115,Cameron Archer,0,1,0,100,0,10,2880,98.62966769,0,1,0,50,23.3,689,23.56971566,6.67,1184,40.52757794,ENG,MFFW,Aston Villa,Premier League,20,6.67
116,Alphonse Areola,0,1,0,48.8,34.4,0,1,0,0,1,0,0,17,314,10.72285029,2,140,4.761904762,FRA,GK,West Ham,Premier League,29,2
117,Jesús Areso,0,1,0,66.2,47.4,1.43,803,27.47516273,0,1,0,0,15.2,242,8.256252141,7.14,1369,46.86536485,ESP,DF,Osasuna,La Liga,22,7.14
118,Matias Arezo,1.67,2884,98.76670092,59,50,1.67,920,31.48338472,0.56,2727,93.38814663,33.3,18.9,396,13.53203152,7.22,1400,47.92737239,URU,FW,Granada,La Liga,19,7.22
